mid,aid
tt1675434,nm0494504
tt0114814,nm0000228
tt0114814,nm0000321
tt0114814,nm0001590
tt0482571,nm0000288
tt0482571,nm0413168
tt0482571,nm0424060
tt2582802,nm1886602
tt2582802,nm0799777
tt2582802,nm2552034
tt0407887,nm0000138
tt0407887,nm0000354
tt0407887,nm0000197
tt0034583,nm0000007
tt0034583,nm0000006
tt0034583,nm0002134
tt108726x,nm4043618
tt108726x,nm3918035
tt108726x,nm1212722
tt0120586,nm0001570
tt0120586,nm0000411
tt0120586,nm0000350
tt0027977,nm0000122
tt0027977,nm0002104
tt0027977,nm0074788
tt0038650,nm0000071
tt0038650,nm0001656
tt0038650,nm0000859
tt0047478,nm0001536
tt0047478,nm0793766
tt0047478,nm0875477
tt0114369,nm0000151
tt0114369,nm0000093
tt0114369,nm0000228
tt0073486,nm0000197
tt0073486,nm0001221
tt0073486,nm0077720
tt0099685,nm0000134
tt0099685,nm0000501
tt0099685,nm0000582
tt0133093,nm0000206
tt0133093,nm0000401
tt0133093,nm0005251
tt0080684,nm0000434
tt0080684,nm0000148
tt0080684,nm0000402
tt0167261,nm0000704
tt0167261,nm0005212
tt0167261,nm0001557
tt0137523,nm0000093
tt0137523,nm0001570
tt0137523,nm0001533
tt0109830,nm0000158
tt0109830,nm0000705
tt0109830,nm0000641
tt1375666,nm0000138
tt1375666,nm0330687
tt1375666,nm0680983
tt0120737,nm0000704
tt0120737,nm0005212
tt0120737,nm0089217
tt0110912,nm0000237
tt0110912,nm0000235
tt0110912,nm0000168
tt0108052,nm0000553
tt0108052,nm0000146
tt0108052,nm0001426
tt0167260,nm0000704
tt0167260,nm0001557
tt0167260,nm0005212
tt0050083,nm0000020
tt0050083,nm0002011
tt0050083,nm0000842
tt0071562,nm0000199
tt0071562,nm0000134
tt0071562,nm0000380
tt0111161,nm0000209
tt0111161,nm0000151
tt0111161,nm0348409
tt0468569,nm0000288
tt0468569,nm0005132
tt0468569,nm0001173
tt0068646,nm0000008
tt0068646,nm0000199
tt0068646,nm0001001
tt0060196,nm0000142
tt0060196,nm0908919
tt0060196,nm0001812
